Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Support Services,AP,REL,FY23/24,Q1,50.57709969999999
Revenue $M,IDG,GPS,Support Services,AP,REL,FY23/24,Q2,47.573616500000014
Revenue $M,IDG,GPS,Support Services,AP,REL,FY23/24,Q3,51.84336089999996
Revenue $M,IDG,GPS,Support Services,AP,REL,FY23/24,Q4,50.418185
Revenue $M,IDG,GPS,Support Services,AP,REL,FY24/25,Q1,48.74447629999999
Revenue $M,IDG,GPS,Support Services,AP,REL,FY24/25,Q2,50.8534065
Revenue $M,IDG,GPS,Support Services,AP,REL,FY24/25,Q3,51.680218300000014
Revenue $M,IDG,GPS,Support Services,AP,REL,FY24/25,Q4,47.46887669999999
Revenue $M,IDG,GPS,Support Services,AP,REL,FY25/26,Q1ACT,53.633783
Revenue $M,IDG,GPS,Support Services,AP,REL,FY25/26,Q2ACT,54.84948929999998
Revenue $M,IDG,GPS,Support Services,AP,REL,FY25/26,Q3M1,47.186257999999995
Revenue $M,IDG,GPS,Support Services,AP,REL,FY25/26,Q4MT,50.398144300000006
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY23/24,Q1,21.0932377
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY23/24,Q2,22.481744900000002
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY23/24,Q3,23.4509736
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY23/24,Q4,24.534316699999994
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY24/25,Q1,25.0105421
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY24/25,Q2,24.4950871
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY24/25,Q3,25.4142532
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY24/25,Q4,24.784414199999997
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY25/26,Q1ACT,25.6856274
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY25/26,Q2ACT,26.823327600000006
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY25/26,Q3M1,27.916560899999997
Revenue $M,IDG,GPS,Support Services,AP,SMB,FY25/26,Q4MT,30.125753
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY23/24,Q1,20.9711966
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY23/24,Q2,20.974663999999994
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY23/24,Q3,21.049164
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY23/24,Q4,20.404014700000005
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY24/25,Q1,18.5853575
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY24/25,Q2,19.6662897
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY24/25,Q3,19.600551099999997
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY24/25,Q4,18.595224799999997
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY25/26,Q1ACT,20.036597399999998
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY25/26,Q2ACT,20.916365
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY25/26,Q3M1,21.446219399999997
Revenue $M,IDG,GPS,Support Services,AP,CONS,FY25/26,Q4MT,22.7156521
Revenue $M,IDG,GPS,Support Services,AP,Others,FY23/24,Q1,3.6099999999999997e-05
Revenue $M,IDG,GPS,Support Services,AP,Others,FY23/24,Q2,3.6900000000000016e-05
Revenue $M,IDG,GPS,Support Services,AP,Others,FY23/24,Q3,3.7099999999999994e-05
Revenue $M,IDG,GPS,Support Services,AP,Others,FY23/24,Q4,3.57e-05
Revenue $M,IDG,GPS,Support Services,AP,Others,FY24/25,Q1,3.959999999999998e-05
Revenue $M,IDG,GPS,Support Services,AP,Others,FY24/25,Q2,1.6000000000000004e-06
Revenue $M,IDG,GPS,Support Services,AP,Others,FY24/25,Q3,-5e-07
Revenue $M,IDG,GPS,Support Services,AP,Others,FY24/25,Q4,-1.1102230246251565e-22
